text,emotion
i am stressed because of tomorrow exam,fear
i am worried about my assignment,fear
i feel confident after solving the problems,joy
today i understood recursion clearly,joy
i am confused about binary trees,sadness
i failed my coding test,sadness
i am excited to learn ai,love
i love solving leetcode questions,love
i am frustrated with this compiler,anger
my project is not running,anger
i finally completed my project,joy
i am nervous before presentation,fear
i don't understand operating systems,sadness
i enjoy learning machine learning,love
debugging this code makes me angry,anger
today i feel motivated to study,joy
i am scared about the interview,fear
my laptop crashed before submission,anger
i feel hopeless about this semester,sadness
i love building deep learning models,love
